NO,개설대학,개설학과,개설전공,"교양영역구분",학정번호,과목명,외국인전용,원격100%,원격50%,사전녹화100%,재직자전형,집중이수제,외국어강의,외국어강의비율(%),신입생 및 1학년 분반,이수구분,인증/연계,주야,학점,시수,담당교수,요일1-일,요일1-시간,요일1-강의실,요일2-일,요일2-시간,요일2-강의실,요일3-일,요일3-시간,요일3-강의실,"비고(1학년은 신입생 및 1학년 분반 정보 참고하여 수강)"
1 ,공통,공통,공통,과학과기술,0000-1-0019-01,C프로그래밍,,,,,,,영어,100 ,,교선,,주,3 ,3 ,이롤랜드,월,1 ,연204,수,2 ,연204,,,,
2 ,공통,공통,공통,과학과기술,0000-1-0019-02,C프로그래밍,,,,,,,,,,교선,,주,3 ,3 ,신은영,월,6 ,비502,수,5 ,비502,,,,
3 ,공통,공통,공통,과학과기술,0000-1-0019-03,C프로그래밍,,,,,,,,0 ,,교선,,주,3 ,3 ,박세영,화,5 ,연201,목,6 ,연201,,,,
4 ,공통,공통,공통,과학과기술,0000-1-0019-04,C프로그래밍,,,,,,,,0 ,,교선,,주,3 ,3 ,이도환,화,1 ,비502,목,2 ,비502,,,,
5 ,공통,공통,공통,과학과기술,0000-1-0019-05,C프로그래밍,,,,,,,,0 ,,교선,,주,3 ,3 ,김수영,금,"1,2",비501,,,,,,,
6 ,공통,공통,공통,과학과기술,0000-1-0019-06,C프로그래밍,,,,,,,,0 ,,교선,,주,3 ,3 ,노현아,금,"5,6",비513,,,,,,,
7 ,공통,공통,공통,수리와자연(수학),0000-1-0109-01,경영통계,,,,,,,,0 ,"B1,B2,B3,B4",교선,,주,3 ,3 ,박정수,월,"1,2",누405,,,,,,,
8 ,공통,공통,공통,수리와자연(수학),0000-1-0109-02,경영통계,,,,,,,,0 ,"B1,B2,B3,B4",교선,,주,3 ,3 ,정예숙,수,"1,2",누405,,,,,,,
9 ,공통,공통,공통,인간과철학,0000-1-0221-01,과학철학의이해,,,,,,,,0 ,,교선,,주,3 ,3 ,우호용,금,"3,4",비405,,,,,,,
10 ,공통,공통,공통,대학실용영어,0000-1-0355-01,기초영어회화,Y,,,,,,,,,교선,,주,3 ,3 ,브라이언,월,4 ,기307,수,3 ,기307,,,,
11 ,공통,공통,공통,대학실용영어,0000-1-0355-02,기초영어회화,Y,,,,,,영어,100 ,,교선,,주,3 ,3 ,에이미,화,1 ,기308,목,2 ,기308,,,,
12 ,공통,공통,공통,예술과체육,0000-1-0387-01,농구,,,,,,,,0 ,,교선,,주,2 ,2 ,배종원,월,"1,2",,,,,,,,
13 ,공통,공통,공통,사회와경제,0000-1-0670-01,법과생활,,,,,,,,0 ,,교선,,주,3 ,3 ,배덕현,월,5 ,한울B102,수,6 ,한울B102,,,,
14 ,공통,공통,공통,사회와경제,0000-1-0806-01,생활속의경제,,,,,,,,0 ,,교선,,주,3 ,3 ,이수욱,월,5 ,한울504,수,6 ,한울504,,,,
15 ,공통,공통,공통,사회와경제,0000-1-0806-02,생활속의경제,,,,,,,,,,교선,,주,3 ,3 ,김일식,월,1 ,한울311,수,2 ,한울311,,,,
16 ,공통,공통,공통,예술과체육,0000-1-0898-01,스키,,,,,,,,0 ,,교선,,주,2 ,2 ,박석,화,"5,6",,,,,,,,
17 ,공통,공통,공통,대학실용영어,0000-1-1078-01,영어회화1,,,,,,,,,,교선,,주,3 ,3 ,브라이언,월,3 ,기307,수,4 ,기307,,,,
